Original row		optimized_1245.py	optimized_6608.py	optimized_1722.py	optimized_4432.py	optimized_5612.py	optimized_5910.py	optimized_615.py	optimized_3114.py	optimized_7544.py	optimized_1040.py	optimized_4365.py	optimized_208.py	optimized_6270.py	optimized_3094.py	optimized_1333.py	optimized_819.py	optimized_406.py	optimized_2470.py	optimized_1650.py	optimized_2633.py	optimized_6805.py	optimized_4077.py	optimized_1150.py	optimized_2801.py	optimized_1294.py	optimized_8135.py	optimized_4110.py	optimized_1202.py	optimized_8153.py	optimized_9063.py	optimized_6019.py	optimized_6804.py	optimized_9529.py	optimized_9297.py	optimized_2417.py	optimized_8511.py	optimized_8163.py	optimized_5315.py	optimized_6982.py	optimized_5572.py	optimized_8363.py	optimized_3550.py	optimized_563.py	optimized_5997.py	optimized_3827.py	optimized_7607.py	optimized_2716.py	optimized_8671.py	optimized_7603.py	optimized_3189.py	optimized_724.py	optimized_8387.py	optimized_5217.py	optimized_9580.py	optimized_1157.py	optimized_318.py	optimized_8582.py	optimized_7534.py	optimized_7365.py	optimized_1623.py	optimized_2524.py	optimized_1562.py	optimized_7458.py	optimized_8681.py	optimized_4806.py	optimized_1076.py	optimized_959.py	optimized_693.py	optimized_4309.py	optimized_8129.py	optimized_1425.py	optimized_7925.py	optimized_810.py	optimized_1945.py	optimized_249.py	optimized_0.py	optimized_6328.py	optimized_2895.py	optimized_129.py	optimized_5181.py	optimized_8891.py	optimized_798.py	optimized_550.py	optimized_9012.py	optimized_4153.py	optimized_3103.py	optimized_7909.py	optimized_6545.py	optimized_8256.py	optimized_9270.py	optimized_2502.py	optimized_9139.py	optimized_2204.py	optimized_3777.py	optimized_4857.py	optimized_6381.py	optimized_5435.py	optimized_8662.py	optimized_9781.py	optimized_1395.py	optimized_6295.py	optimized_3466.py	optimized_9985.py	optimized_3083.py	optimized_1738.py	optimized_474.py	optimized_4152.py	optimized_4374.py	optimized_6550.py	optimized_4456.py	optimized_7772.py	optimized_75.py	optimized_8352.py	optimized_9395.py	optimized_6926.py	optimized_8621.py	optimized_1526.py	optimized_8006.py	optimized_3617.py	optimized_9375.py	optimized_1689.py	optimized_5839.py	optimized_8548.py	optimized_3401.py	optimized_6214.py	optimized_697.py	optimized_5914.py	optimized_325.py	optimized_460.py	optimized_9743.py	optimized_1769.py	optimized_5791.py	optimized_201.py	optimized_5648.py	optimized_5312.py	optimized_9194.py	optimized_887.py	optimized_2142.py	optimized_9424.py	optimized_6747.py	optimized_6043.py	optimized_4600.py	optimized_3126.py	optimized_7693.py	optimized_5081.py	optimized_3799.py	optimized_3508.py	optimized_9938.py	optimized_9767.py	optimized_273.py	optimized_3184.py	optimized_9052.py	optimized_6071.py	optimized_1215.py	optimized_562.py	optimized_2285.py	optimized_2388.py	optimized_6696.py	optimized_6715.py	optimized_3509.py	optimized_794.py	optimized_5175.py	optimized_7950.py	optimized_8809.py	optimized_1752.py	optimized_2676.py	optimized_7272.py	optimized_1834.py	optimized_7759.py	optimized_4517.py	optimized_8939.py	optimized_1661.py	optimized_191.py	optimized_9238.py	optimized_7046.py	optimized_6969.py	optimized_5051.py	optimized_6950.py	optimized_9852.py	optimized_5691.py	optimized_9633.py	optimized_9960.py	optimized_5870.py	optimized_2765.py	optimized_3701.py	optimized_8063.py	optimized_7800.py	optimized_93.py	optimized_8017.py	optimized_2652.py	optimized_2823.py	optimized_9650.py	optimized_2520.py	optimized_4523.py	optimized_6806.py	optimized_2010.py	optimized_7447.py	optimized_5781.py	optimized_5168.py	optimized_8646.py
14	optimized_3094.py	136.304	136.404	138.183	136.461	1.358	138.095	138.208	136.031	138.166	2.159	138.428	135.654	137.956	NaN	1.562	138.038	37.17	138.239	36.637	138.296	138.662	3.141	3.141	139.021	135.22	135.239	135.681	138.307	6.052	35.952	139.603	139.603	38.591	37.829	9.184	9.097	38.926	135.526	138.633	6.949	6.949	139.394	135.061	138.172	140.314	136.307	39.266	11.716	9.52	9.52	39.07	135.698	139.759	12.725	139.643	140.632	10.58	12.459	12.459	13.287	140.365	15.051	10.12	37.848	10.408	140.048	135.772	134.575	134.575	134.666	135.185	141.287	136.851	140.311	140.768	13.743	42.317	140.543	136.532	136.532	17.326	16.673	140.303	11.48	137.462	19.619	138.476	137.022	137.022	141.611	135.294	39.803	39.342	40.869	43.119	21.115	141.699	141.699	38.661	140.705	40.119	44.984	136.558	43.328	142.464	25.565	25.565	24.673	141.757	26.25	26.804	25.518	133.777	49.168	142.258	142.258	25.682	141.545	142.103	142.142	31.7	140.862	50.329	133.922	141.014	134.957	34.768	32.662	32.662	141.254	141.795	33.594	53.197	53.029	31.535	35.69	134.159	35.916	133.043	143.5	34.507	37.017	38.616	143.369	143.369	52.697	142.799	54.955	133.883	133.63	134.117	40.693	56.093	56.093	144.048	144.413	141.3	143.091	60.385	136.81	134.22	44.265	44.265	143.409	57.924	141.814	38.442	42.095	45.341	143.364	143.364	135.464	45.408	60.875	144.551	139.047	68.046	145.592	39.934	39.934	41.121	147.293	146.818	48.495	50.312	143.574	143.474	70.435	70.435	134.253	64.569	148.752	141.081	46.814	138.865	136.977	136.234	136.234	137.094	152.418
15	optimized_1333.py	136.198	136.404	138.327	136.359	1.358	138.244	1.186	135.911	138.303	1.378	138.569	135.532	138.091	1.562	NaN	138.165	37.137	138.353	36.627	138.428	138.793	138.793	135.98	139.115	135.067	135.095	135.52	138.398	5.218	35.856	35.856	3.612	38.356	37.588	8.353	8.254	38.694	135.385	135.385	6.226	139.3	139.452	134.888	138.295	140.413	136.144	38.992	38.992	8.849	135.216	38.725	135.513	139.806	12.098	139.691	140.678	140.678	11.517	139.452	12.326	140.381	14.112	9.243	38.04	9.916	9.916	135.578	134.351	41.659	134.457	134.994	141.366	136.682	140.449	140.449	13.113	41.895	140.528	136.319	139.766	16.419	15.991	140.274	140.274	137.477	18.741	138.531	136.845	19.735	141.564	135.056	39.395	38.992	40.463	42.671	20.359	141.68	141.574	38.857	140.689	39.94	44.559	136.358	42.806	42.806	24.741	25.052	23.834	141.705	25.451	26.029	24.766	133.523	133.523	142.206	133.575	24.975	141.428	141.971	142.012	30.92	140.75	140.75	133.651	140.93	134.946	34.031	31.987	133.595	141.436	141.64	141.64	52.598	52.467	30.76	34.925	133.844	35.139	132.774	143.314	33.737	33.737	37.868	143.209	133.327	52.115	142.612	54.354	133.783	133.783	133.795	39.867	55.446	142.033	143.844	144.215	141.086	142.903	142.903	136.608	133.904	43.478	141.591	143.226	57.303	141.573	141.573	41.239	44.453	143.158	139.031	135.11	44.515	60.141	144.329	138.826	138.826	145.369	39.541	147.392	40.702	147.041	146.553	47.718	47.718	143.333	143.245	69.809	69.789	133.931	64.143	148.49	141.094	46.714	46.714	137.025	135.874	44.246	136.721	152.119
17	optimized_406.py	132.794	132.868	136.837	132.891	36.863	136.72	37.031	132.541	136.367	36.871	2.513	132.253	136.411	37.17	37.137	136.276	NaN	136.018	2.102	136.15	136.717	38.121	132.74	135.918	132.012	132.012	132.337	135.05	37.223	7.108	136.482	36.791	9.218	10.107	10.107	37.769	9.729	132.304	134.695	38.886	136.72	135.028	135.028	134.891	137.049	132.987	11.795	38.558	38.1	132.373	12.851	132.52	132.52	39.789	135.034	135.896	38.557	38.531	134.404	38.344	135.153	135.153	40.301	8.376	37.824	134.813	132.606	131.706	16.91	131.835	132.067	139.117	133.16	136.585	136.276	136.276	18.86	135.084	133.272	133.712	39.809	41.566	133.995	37.46	134.234	134.234	134.687	134.031	41.89	134.936	132.413	16.821	17.813	19.207	19.207	42.567	134.43	134.359	9.538	134.088	8.898	22.223	133.637	133.637	134.728	43.366	42.785	42.988	134.345	42.756	42.909	42.317	42.317	29.181	134.429	131.88	42.973	133.894	133.92	133.715	133.715	133.35	32.705	131.984	133.409	131.996	46.566	44.751	132.384	132.384	134.188	45.474	36.373	36.221	46.163	47.312	132.016	48.232	131.556	131.556	45.797	47.87	49.664	134.485	132.579	36.385	134.567	38.952	38.952	132.238	132.984	51.014	39.939	134.115	134.785	134.91	137.394	137.394	42.405	133.793	133.605	53.346	137.46	134.491	44.349	137.684	137.684	53.231	54.786	134.785	136.455	135.076	55.187	45.138	135.045	135.045	51.013	135.935	14.746	137.116	17.123	136.653	136.951	57.941	57.941	135.332	138.596	53.267	55.198	134.428	45.656	138.501	138.501	24.751	139.946	133.45	136.229	24.132	137.649	141.349
19	optimized_1650.py	132.296	132.368	136.241	132.389	36.367	136.12	36.532	132.064	135.792	36.389	136.467	131.779	135.826	36.637	36.627	135.692	2.102	135.472	NaN	135.592	136.149	37.64	132.274	135.414	135.414	131.498	131.921	134.536	36.749	7.491	135.98	36.233	9.21	9.21	37.986	37.317	9.865	131.848	134.224	38.541	136.18	134.576	131.685	131.685	136.554	132.567	11.954	38.12	37.669	131.919	12.916	12.916	134.529	39.388	134.601	135.492	38.157	38.08	134.001	37.916	37.916	38.486	40.108	7.902	37.313	134.424	132.236	131.406	131.406	131.495	131.684	138.628	132.732	136.085	135.883	41.603	19.068	19.068	132.936	133.321	39.573	41.324	133.678	36.715	133.606	40.1	40.1	133.625	41.67	134.658	132.133	17.102	18.166	19.549	19.549	42.352	134.135	134.115	8.704	133.777	9.551	22.439	133.267	133.267	134.487	43.161	42.513	42.808	134.097	42.466	42.569	42.006	42.006	29.092	134.197	131.691	42.661	133.722	133.781	133.559	133.559	133.154	32.488	131.802	133.187	131.366	46.249	44.328	132.25	132.25	134.063	45.104	36.178	36.071	46.046	47.045	131.923	48.012	48.012	134.41	45.356	47.525	49.422	134.392	132.491	36.008	134.517	134.517	130.696	132.15	132.915	50.755	39.819	134.024	134.77	134.77	137.051	134.187	42.44	133.443	133.542	53.071	137.103	134.428	134.428	137.396	48.777	53.146	54.665	134.799	136.063	135.077	55.13	55.13	135.065	134.828	50.949	135.974	15.248	137.269	17.901	136.752	136.752	57.768	58.027	135.354	138.318	53.283	55.085	134.454	134.454	138.684	134.206	26.057	140.049	132.805	136.356	25.188	25.188	141.59
30	optimized_9063.py	135.262	133.616	137.494	133.636	35.556	137.373	35.653	133.322	137.071	35.471	137.708	133.034	137.108	35.952	35.856	138.585	7.108	136.774	7.491	136.868	137.419	36.597	133.47	136.693	132.804	132.737	134.427	135.845	36.029	NaN	137.235	35.284	9.7	7.311	36.415	36.415	10.847	133.029	135.54	37.186	137.51	135.849	132.854	135.738	135.738	133.711	10.493	36.406	35.67	133.059	12.425	133.226	133.226	37.644	135.932	136.714	37.708	37.159	135.213	36.958	136.045	136.045	38.685	12.985	35.288	135.678	133.326	132.503	16.35	16.35	132.814	139.77	133.835	137.295	137.059	39.19	17.422	135.934	135.934	134.634	37.896	38.829	134.931	37.033	134.819	38.431	38.431	134.641	39.385	135.809	133.159	12.488	13.425	15.736	20.022	20.022	135.417	135.28	15.655	134.946	12.975	22.02	134.272	20.063	20.063	41.522	40.54	41.228	135.291	40.221	40.529	39.941	132.337	132.337	135.295	132.522	40.374	134.741	134.771	134.585	42.581	134.196	31.04	31.04	134.234	132.563	44.334	43.015	132.947	140.092	134.974	43.226	43.226	34.781	43.95	44.947	132.717	46.352	132.189	135.289	43.255	43.255	47.951	135.29	133.168	34.804	135.353	37.547	131.746	131.746	133.501	49.088	38.121	134.884	135.581	135.741	138.031	135.071	135.071	134.287	134.071	51.68	138.177	135.341	42.405	138.431	47.523	47.523	52.612	135.576	137.117	135.468	53.364	44.005	135.918	135.887	50.505	50.505	16.314	137.92	14.804	137.496	137.699	57.124	57.179	136.086	136.086	52.596	54.999	134.951	47.716	139.32	135.164	21.729	140.085	140.085	136.736	19.821	138.039	142.068
33	optimized_9529.py	131.532	131.61	135.159	131.642	4.708	135.057	38.315	131.252	134.685	37.905	135.327	130.967	134.72	38.591	38.356	134.574	9.218	134.313	9.21	134.473	134.987	39.564	135.048	134.122	134.151	134.175	130.912	133.358	37.401	9.7	134.624	37.459	NaN	4.653	38.049	37.202	1.804	131.011	132.954	132.954	134.978	133.205	130.618	133.233	135.189	131.583	3.522	3.522	37.693	131.053	3.989	131.052	133.11	38.97	133.162	133.961	133.961	37.479	132.618	37.019	133.233	37.126	40.208	16.23	16.23	132.924	131.172	130.199	8.086	130.397	130.691	137.07	137.07	134.882	134.303	41.158	10.01	133.156	131.69	131.97	37.54	37.54	132.107	37.578	133.239	37.799	133.018	132.522	39.253	132.998	132.998	10.33	11.351	11.604	12.199	40.084	132.52	132.43	132.43	132.343	7.305	13.582	132.125	13.877	132.842	39.796	39.069	39.661	39.661	38.945	38.978	38.421	130.162	20.338	132.624	130.38	39.506	132.087	132.087	131.941	39.893	131.635	23.815	130.549	131.738	130.937	41.538	40.044	130.949	138.005	138.005	40.261	27.604	27.445	41.625	42.105	130.299	43.092	130.104	132.662	132.662	42.563	44.246	132.779	131.201	27.812	132.64	30.326	130.03	130.03	131.489	45.326	31.261	132.338	133.029	133.196	135.852	132.447	132.447	132.407	132.191	47.605	136.061	132.825	35.812	136.028	43.66	43.66	48.795	132.996	134.773	133.629	49.259	36.637	133.257	133.826	133.826	134.207	10.083	135.405	12.135	135.078	135.195	52.193	52.355	133.435	137.052	45.185	47.114	133.013	38.785	136.738	136.738	23.07	138.465	132.673	134.81	22.812	136.217	139.714
35	optimized_2417.py	135.772	135.876	139.811	132.669	9.093	139.749	8.525	132.284	139.773	7.493	136.433	135.086	139.53	9.184	8.353	139.629	10.107	139.775	37.986	139.886	140.3	38.583	135.519	140.516	134.535	134.649	134.916	139.836	5.414	36.415	141.11	6.653	38.049	37.008	NaN	3.283	38.383	38.383	140.059	4.284	140.877	140.745	134.328	139.756	141.887	141.887	38.141	3.142	3.463	134.825	37.882	134.887	141.07	4.227	4.227	141.913	7.468	6.456	140.62	7.124	141.54	7.189	6.845	6.845	4.636	141.241	134.959	133.627	40.136	133.858	134.445	134.445	136.07	142.011	141.944	6.132	40.068	141.647	135.57	141.025	141.025	8.006	141.287	10.737	137.376	11.298	139.74	136.258	136.258	142.49	134.277	37.748	37.169	38.398	40.741	12.476	12.476	142.391	41.203	141.673	40.352	42.633	135.757	40.508	40.508	17.445	17.396	16.583	142.527	17.726	18.433	17.399	132.813	46.136	46.136	132.816	17.035	141.994	142.447	142.537	23.703	141.379	141.379	132.969	141.619	134.84	26.736	25.02	132.829	143.11	143.11	25.866	49.305	49.252	23.445	27.547	132.652	28.035	28.035	143.55	26.591	29.016	30.975	143.536	132.513	48.995	48.995	51.126	133.627	132.373	132.886	33.006	51.971	142.339	143.964	143.964	140.322	143.133	56.509	136.052	133.149	36.752	140.901	140.901	53.654	140.628	31.387	34.823	37.528	143.308	138.294	134.077	37.783	37.783	144.488	138.174	64.063	145.471	39.323	147.149	39.491	146.822	146.822	41.749	43.247	143.454	142.217	66.326	66.573	133.149	62.105	62.105	142.127	44.879	137.454	137.076	134.575	42.614	135.474	151.589
36	optimized_8511.py	135.013	135.116	139.134	135.178	9.149	139.081	8.575	134.686	139.067	7.434	139.326	135.086	138.808	9.097	8.254	138.913	37.769	139.025	37.317	139.184	139.587	9.433	134.779	139.736	133.769	133.893	134.146	139.055	3.935	36.415	141.11	6.367	37.202	36.426	3.283	NaN	151.589	134.241	139.227	4.615	140.137	139.912	133.572	138.958	138.958	134.869	37.337	4.137	4.866	134.112	36.938	134.172	140.197	140.197	140.084	141.084	5.072	4.482	139.797	4.96	140.64	140.64	6.406	39.908	6.56	140.35	134.264	132.902	39.133	133.158	133.158	141.913	135.369	141.381	141.12	8.237	39.083	140.767	134.822	140.139	140.139	9.653	140.348	9.843	136.665	10.668	139.004	135.571	11.995	141.61	141.61	37.359	36.703	37.78	39.602	12.561	141.768	141.477	40.335	140.856	39.408	39.408	135.079	39.578	142.369	16.756	17.151	15.878	141.631	141.631	18.244	17.026	132.164	44.776	142.143	132.193	17.302	17.302	141.624	141.692	23.114	140.54	45.586	132.37	140.819	140.819	26.434	24.436	132.271	142.721	141.233	25.229	48.205	48.205	23.025	27.222	131.992	27.321	131.539	142.745	26.426	26.426	30.242	142.771	131.956	47.891	142.028	49.932	132.98	132.98	132.351	32.316	50.892	141.568	143.194	143.577	139.669	139.669	55.155	135.505	132.625	36.078	140.235	142.741	52.612	52.612	30.366	33.662	36.919	142.507	137.561	133.634	36.974	36.974	143.632	137.558	62.694	144.661	38.329	146.426	146.426	146.128	145.659	40.472	42.263	142.626	141.587	65.083	65.083	132.554	60.165	147.576	141.571	44.958	137.088	136.331	136.331	43.057	135.036	150.977
37	optimized_8163.py	131.492	131.571	135.062	131.606	38.612	134.964	38.655	131.199	139.067	38.226	135.222	130.914	138.808	38.926	38.694	134.472	9.729	139.025	9.865	139.184	134.876	39.98	131.381	133.988	130.551	130.584	130.828	133.239	37.615	10.847	134.485	6.367	1.804	5.677	38.383	151.589	NaN	130.972	132.815	39.355	134.846	134.846	130.525	133.102	135.06	131.526	3.942	37.902	38.067	38.067	3.869	130.981	132.939	39.303	132.988	133.796	38.091	38.091	132.48	37.159	133.047	37.288	40.33	16.77	37.762	37.762	131.104	130.078	7.455	130.313	130.626	136.914	131.752	131.752	134.139	41.499	9.649	132.984	131.576	131.817	131.817	40.481	131.908	37.819	133.263	37.921	132.923	132.468	132.468	132.812	130.768	11.172	11.829	11.795	11.707	40.193	40.193	132.226	15.88	132.198	6.595	12.695	132.061	13.804	13.804	39.75	39.166	39.618	132.265	39.105	39.112	38.489	38.489	19.723	132.462	130.254	39.71	131.906	131.964	131.761	131.761	131.468	23.562	130.432	131.597	130.964	41.574	41.574	130.823	137.97	132.151	40.28	27.371	27.087	41.515	41.515	130.093	42.952	129.962	132.457	40.993	42.65	44.063	44.063	131.053	27.672	132.416	30.06	130.043	130.595	131.339	131.339	31.004	132.16	132.831	132.991	135.792	132.238	33.212	33.212	132.043	47.449	136.007	132.633	35.604	135.92	43.521	43.521	48.626	132.761	134.658	133.481	48.969	36.109	36.109	133.788	42.217	133.968	9.542	135.149	12.406	134.864	134.864	51.726	52.027	133.187	136.955	44.629	46.425	132.781	132.781	136.434	133.183	22.973	138.285	132.681	134.564	23.236	23.236	139.463
49	optimized_7603.py	135.8	135.901	139.226	135.961	9.369	139.156	11.133	135.507	139.202	10.108	139.431	135.139	138.964	9.52	8.849	139.039	38.1	139.231	37.669	139.323	139.706	8.934	135.581	139.962	134.629	134.736	135.024	139.28	7.021	35.67	140.531	7.113	37.693	36.386	3.463	4.866	38.067	135.037	139.535	5.224	140.294	140.212	134.446	139.217	141.286	135.697	37.619	4.294	NaN	134.881	134.881	135.012	140.586	5.741	140.466	141.401	9.642	8.406	140.131	8.877	141.062	8.924	7.861	7.861	3.671	140.742	135.116	133.836	39.775	134.023	134.594	142.088	136.173	141.397	141.446	141.446	39.556	141.169	135.769	140.52	10.848	8.177	140.862	12.838	137.224	12.459	139.24	136.358	136.358	142.081	134.516	36.949	36.202	37.585	40.257	13.709	142.279	142.021	41.23	41.23	40.363	42.329	135.897	39.828	142.868	18.606	18.33	17.871	142.171	18.406	19.189	19.189	133.059	45.877	142.612	133.057	17.677	141.714	142.195	142.257	24.383	141.075	46.202	46.202	141.295	134.637	27.538	26.075	133.087	142.424	141.807	26.472	48.878	48.878	24.176	24.176	132.97	28.916	132.388	143.36	27.177	29.679	31.95	143.324	132.8	48.613	142.65	50.774	50.774	132.664	133.178	33.841	51.547	142.135	143.801	144.19	140.531	142.945	56.331	56.331	133.4	37.76	141.134	143.342	53.206	140.931	32.288	36.002	38.19	143.139	138.443	134.406	134.406	56.444	144.295	138.442	63.98	145.301	39.338	147.067	38.972	146.765	146.287	42.932	44.39	143.278	143.278	66.266	66.523	133.396	62.445	148.237	141.73	44.153	137.738	136.969	134.949	41.772	41.772	151.575
51	optimized_724.py	131.263	131.344	134.6	131.381	38.708	134.507	38.714	8.546	134.13	38.207	134.75	130.675	134.157	39.07	38.725	134.009	12.851	133.742	12.916	133.924	36.849	40.048	131.111	133.524	6.017	130.321	130.543	132.802	134.327	12.425	133.996	37.651	3.989	132.029	37.882	36.938	3.869	130.691	132.379	39.056	134.391	132.609	130.204	132.709	134.565	131.213	3.318	37.25	134.881	130.71	NaN	130.639	132.505	38.709	132.541	133.317	37.758	37.029	132.031	132.031	132.585	36.412	39.884	19.975	37.195	132.284	130.765	129.729	4.859	129.96	130.303	136.335	136.335	134.356	133.611	40.786	6.517	132.492	131.212	131.418	36.473	39.575	131.469	131.469	133.114	36.76	132.473	132.085	38.156	132.337	130.393	8.839	9.641	9.017	8.576	39.115	131.903	131.903	19.306	131.787	9.387	10.292	131.664	10.299	132.232	38.353	37.654	38.303	131.847	131.847	37.558	36.929	129.65	17.027	132.058	129.828	38.307	131.468	131.546	131.351	131.351	131.054	20.637	130.012	131.205	130.782	39.755	38.499	130.383	137.46	131.678	38.275	24.365	24.197	39.767	40.172	129.652	129.652	129.529	132.038	39.084	40.645	42.194	132.218	130.626	24.81	131.93	27.202	129.752	129.752	130.863	43.111	27.961	131.717	132.421	132.607	135.382	131.816	30.628	131.99	131.561	45.476	45.476	132.248	32.622	135.515	41.51	45.663	46.32	132.321	134.268	132.975	46.733	33.13	132.598	132.598	39.815	133.582	9.276	134.777	10.883	134.547	134.554	49.85	50.137	132.683	136.629	136.629	44.115	132.296	36.431	136.031	132.842	23.317	137.687	132.666	134.115	23.17	135.477	135.477
54	optimized_9580.py	135.462	135.563	140.371	135.622	12.853	140.315	12.243	135.146	140.347	11.304	140.564	37.455	140.079	12.725	12.098	140.203	39.789	140.36	39.388	140.471	140.905	11.819	135.241	141.14	134.251	134.39	134.604	140.47	8.83	37.644	141.755	10.211	38.97	37.879	4.227	140.197	39.303	134.726	140.699	7.552	141.547	141.376	134.08	7.24	142.559	135.324	38.877	2.885	5.741	134.619	38.709	134.624	141.718	NaN	141.627	142.563	9.245	6.961	6.961	7.586	142.181	6.406	9.277	41.995	6.243	141.891	134.717	133.374	40.665	133.651	134.218	143.243	135.762	135.762	142.598	5.092	40.517	142.303	135.286	141.695	9.738	5.319	141.913	11.348	11.348	9.197	140.316	136.026	9.589	143.119	134.036	38.357	37.654	38.799	41.187	41.187	143.355	142.992	42.782	142.281	41.542	43.033	135.557	40.845	143.837	15.222	14.92	14.92	143.114	15.281	15.927	15.363	132.652	46.321	143.521	132.667	14.011	142.53	142.955	142.955	21.479	141.914	46.586	132.869	142.153	134.546	24.267	22.468	132.725	143.794	142.559	23.941	49.241	49.241	21.322	25.086	132.308	25.709	132.135	144.007	24.191	26.665	28.788	143.999	132.387	132.387	143.339	51.088	133.505	132.176	132.759	30.938	51.876	142.818	144.382	144.765	144.765	143.59	56.394	135.908	133.109	34.575	140.623	144.024	53.499	140.307	29.833	32.849	35.527	35.527	138.008	133.941	35.908	56.681	144.93	137.946	63.9	145.895	40.536	147.449	147.449	147.083	146.73	39.983	41.135	143.937	141.84	66.135	66.485	133.099	62.289	148.759	148.759	45.021	137.428	136.799	134.269	43.049	135.25	151.785
57	optimized_8582.py	134.78	134.885	139.467	134.951	10.75	139.431	10.368	134.415	139.36	140.853	139.646	134.052	139.08	10.58	140.678	139.225	38.557	139.249	38.157	139.469	139.898	11.549	134.522	139.944	133.441	133.589	133.803	6.532	4.951	37.708	140.566	8.929	133.961	37.731	7.468	5.072	38.091	133.988	139.366	6.932	140.406	140.064	133.213	139.134	141.454	134.576	38.403	8.218	9.642	133.878	37.758	133.855	140.247	9.245	140.156	141.2	NaN	5.257	139.912	5.389	140.663	7.391	6.872	40.594	11.098	11.098	133.931	132.452	39.818	132.793	133.395	142.146	135.116	141.785	141.225	11.817	39.977	140.816	134.386	134.386	9.379	12.848	140.284	9.338	136.645	11.667	139.205	135.308	13.761	141.584	133.156	39.107	38.412	39.233	40.355	13.455	13.455	141.382	40.497	140.898	39.558	41.768	134.771	40.752	142.325	16.741	18.048	15.738	141.545	19.123	19.123	18.084	131.696	45.14	142.127	131.736	18.925	141.03	141.483	141.572	23.632	140.44	46.468	131.931	140.786	134.123	27.091	27.091	131.817	143.377	141.069	25.895	49.051	48.768	23.261	27.934	131.383	27.295	131.069	142.541	27.657	29.604	30.035	30.035	131.433	48.757	141.793	50.627	132.924	131.243	131.844	32.35	51.699	141.411	142.997	143.365	143.365	142.101	55.316	135.317	132.135	35.91	139.859	142.544	53.457	139.481	30.171	32.553	37.034	37.034	137.175	133.121	36.608	55.66	143.344	137.181	62.748	144.388	38.49	146.127	40.188	145.882	145.395	39.173	41.482	142.319	142.319	65.176	64.809	131.889	58.943	147.196	141.807	46.272	136.553	136.225	133.389	44.926	134.35	134.35
58	optimized_7534.py	134.064	134.166	139.155	134.226	10.75	139.114	10.368	133.72	139.072	11.007	139.336	133.365	138.788	12.459	11.517	138.897	38.531	138.984	38.08	139.191	139.598	12.875	133.828	139.944	132.798	133.589	133.149	138.992	6.999	37.159	140.282	9.057	37.479	36.999	6.456	4.482	38.091	133.311	139.117	8.249	140.157	139.795	132.621	138.931	141.161	133.914	37.61	6.172	8.406	133.216	37.029	133.215	140.065	6.961	139.937	140.985	5.257	NaN	139.64	1.555	140.465	4.198	8.649	41.037	9.96	140.163	133.312	131.924	39.026	132.224	132.765	141.872	134.373	134.373	140.971	10.245	38.972	140.56	133.798	139.954	8.141	10.488	140.1	10.037	135.883	8.432	138.891	138.891	11.212	141.373	132.64	37.814	37.269	38.094	39.369	11.039	141.531	141.191	41.117	140.656	39.74	41.089	134.154	134.154	142.107	14.522	15.132	13.515	141.365	16.205	16.405	15.783	131.288	44.018	141.897	141.897	15.839	140.836	141.284	141.328	21.124	140.21	45.053	131.557	140.531	133.296	24.434	22.028	131.483	143.021	143.021	23.165	47.477	47.487	21.458	25.227	130.977	24.988	130.75	142.357	24.387	26.66	27.976	142.405	142.405	47.176	141.667	49.104	132.241	130.895	131.552	29.958	50.108	141.226	142.788	143.174	138.65	138.65	54.136	134.693	131.91	33.558	139.189	142.342	51.963	138.883	27.852	30.698	34.615	34.615	136.626	132.872	34.576	54.252	143.194	136.559	61.514	144.238	38.485	145.967	39.514	145.626	145.201	37.649	39.468	142.219	140.521	140.521	63.911	131.826	58.894	147.156	141.489	46.039	136.506	135.575	133.24	44.536	134.26	150.499
62	optimized_1562.py	134.271	134.375	140.02	134.438	15.027	139.99	14.519	133.906	139.907	13.335	140.181	133.556	13.761	15.051	14.112	139.753	135.153	139.774	38.486	10.754	11.863	15.042	133.984	140.408	132.923	133.096	133.24	139.749	9.462	136.045	8.196	11.906	37.126	134.367	7.189	140.64	37.288	133.469	139.797	9.786	140.987	140.411	132.691	139.688	141.88	133.985	36.986	5.592	8.924	133.375	36.412	133.236	2.944	6.406	140.544	141.504	7.391	4.198	140.15	3.449	150.077	NaN	9.568	9.568	9.859	140.68	133.314	131.87	38.026	132.228	132.827	142.518	134.436	142.187	141.468	141.468	37.825	141.017	133.733	140.491	5.016	8.095	140.479	12.347	136.273	4.81	139.483	134.658	134.658	141.641	132.51	36.692	36.054	36.731	38.17	7.46	141.856	141.395	41.944	140.962	140.962	39.834	134.127	38.003	142.272	11.037	11.545	10.045	141.551	12.519	12.976	12.118	131.156	42.586	42.586	131.161	12.339	140.886	141.266	141.353	17.711	140.33	43.241	131.394	140.661	133.765	133.765	19.244	131.259	143.822	140.848	20.106	45.612	45.551	17.733	21.85	130.631	21.806	130.64	142.181	142.181	23.569	24.86	142.28	130.923	45.468	141.499	47.322	132.515	130.643	131.242	26.953	48.109	48.109	142.552	142.938	138.483	141.764	52.213	134.613	131.66	30.777	139.065	142.257	49.809	49.809	25.366	28.104	31.49	141.92	136.52	132.476	31.477	52.251	143.004	136.441	136.441	144.003	37.835	145.509	38.426	145.22	144.806	35.307	37.012	142.007	140.16	61.939	61.939	131.579	57.655	146.76	141.75	44.482	136.017	136.039	132.766	42.943	133.763	133.763
