Original row		optimized_1245.py	optimized_6608.py	optimized_1722.py	optimized_4432.py	optimized_5612.py	optimized_5910.py	optimized_615.py	optimized_3114.py	optimized_7544.py	optimized_1040.py	optimized_4365.py	optimized_208.py	optimized_6270.py	optimized_3094.py	optimized_1333.py	optimized_819.py	optimized_406.py	optimized_2470.py	optimized_1650.py	optimized_2633.py	optimized_6805.py	optimized_4077.py	optimized_1150.py	optimized_2801.py	optimized_1294.py	optimized_8135.py	optimized_4110.py	optimized_1202.py	optimized_8153.py	optimized_9063.py	optimized_6019.py	optimized_6804.py	optimized_9529.py	optimized_9297.py	optimized_2417.py	optimized_8511.py	optimized_8163.py	optimized_5315.py	optimized_6982.py	optimized_5572.py	optimized_8363.py	optimized_3550.py	optimized_563.py	optimized_5997.py	optimized_3827.py	optimized_7607.py	optimized_2716.py	optimized_8671.py	optimized_7603.py	optimized_3189.py	optimized_724.py	optimized_8387.py	optimized_5217.py	optimized_9580.py	optimized_1157.py	optimized_318.py	optimized_8582.py	optimized_7534.py	optimized_7365.py	optimized_1623.py	optimized_2524.py	optimized_1562.py	optimized_7458.py	optimized_8681.py	optimized_4806.py	optimized_1076.py	optimized_959.py	optimized_693.py	optimized_4309.py	optimized_8129.py	optimized_1425.py	optimized_7925.py	optimized_810.py	optimized_1945.py	optimized_249.py	optimized_0.py	optimized_6328.py	optimized_2895.py	optimized_129.py	optimized_5181.py	optimized_8891.py	optimized_798.py	optimized_550.py	optimized_9012.py	optimized_4153.py	optimized_3103.py	optimized_7909.py	optimized_6545.py	optimized_8256.py	optimized_9270.py	optimized_2502.py	optimized_9139.py	optimized_2204.py	optimized_3777.py	optimized_4857.py	optimized_6381.py	optimized_5435.py	optimized_8662.py	optimized_9781.py	optimized_1395.py	optimized_6295.py	optimized_3466.py	optimized_9985.py	optimized_3083.py	optimized_1738.py	optimized_474.py	optimized_4152.py	optimized_4374.py	optimized_6550.py	optimized_4456.py	optimized_7772.py	optimized_75.py	optimized_8352.py	optimized_9395.py	optimized_6926.py	optimized_8621.py	optimized_1526.py	optimized_8006.py	optimized_3617.py	optimized_9375.py	optimized_1689.py	optimized_5839.py	optimized_8548.py	optimized_3401.py	optimized_6214.py	optimized_697.py	optimized_5914.py	optimized_325.py	optimized_460.py	optimized_9743.py	optimized_1769.py	optimized_5791.py	optimized_201.py	optimized_5648.py	optimized_5312.py	optimized_9194.py	optimized_887.py	optimized_2142.py	optimized_9424.py	optimized_6747.py	optimized_6043.py	optimized_4600.py	optimized_3126.py	optimized_7693.py	optimized_5081.py	optimized_3799.py	optimized_3508.py	optimized_9938.py	optimized_9767.py	optimized_273.py	optimized_3184.py	optimized_9052.py	optimized_6071.py	optimized_1215.py	optimized_562.py	optimized_2285.py	optimized_2388.py	optimized_6696.py	optimized_6715.py	optimized_3509.py	optimized_794.py	optimized_5175.py	optimized_7950.py	optimized_8809.py	optimized_1752.py	optimized_2676.py	optimized_7272.py	optimized_1834.py	optimized_7759.py	optimized_4517.py	optimized_8939.py	optimized_1661.py	optimized_191.py	optimized_9238.py	optimized_7046.py	optimized_6969.py	optimized_5051.py	optimized_6950.py	optimized_9852.py	optimized_5691.py	optimized_9633.py	optimized_9960.py	optimized_5870.py	optimized_2765.py	optimized_3701.py	optimized_8063.py	optimized_7800.py	optimized_93.py	optimized_8017.py	optimized_2652.py	optimized_2823.py	optimized_9650.py	optimized_2520.py	optimized_4523.py	optimized_6806.py	optimized_2010.py	optimized_7447.py	optimized_5781.py	optimized_5168.py	optimized_8646.py
1	optimized_1245.py	NaN	0.452	36.488	0.685	0.685	36.562	136.443	1.625	36.231	136.248	36.535	2.508	2.508	136.304	136.198	36.441	132.794	36.012	132.296	36.068	37.431	37.431	4.589	37.142	6.135	6.07	5.907	36.63	135.262	135.262	38.325	135.249	131.532	132.556	135.772	135.013	131.492	7.612	7.612	136.414	38.895	37.082	9.697	36.402	39.43	8.382	8.382	135.246	135.8	9.368	131.263	11.117	37.886	135.462	135.462	38.765	134.78	134.064	37.16	133.958	38.538	134.271	134.271	133.736	135.971	38.654	13.305	16.252	131.429	16.125	16.125	39.668	8.998	39.19	39.477	137.065	131.369	39.47	13.226	13.226	134.823	136.346	39.166	133.507	10.665	133.931	35.103	35.103	135.289	40.933	18.904	133.166	133.071	132.46	130.909	135.002	135.002	41.204	132.292	39.346	132.16	131.126	16.328	131.491	131.491	134.21	134.173	134.08	40.684	134.47	134.045	134.354	25.717	130.939	41.554	28.658	28.658	42.875	44.085	43.976	133.776	42.443	131.67	31.046	41.756	41.756	134.153	133.327	34.891	42.679	44.622	133.876	132.385	132.292	132.292	134.146	29.764	134.223	32.471	48.355	133.974	134.382	134.382	47.406	38.612	132.325	47.418	132.645	14.728	36.411	39.059	39.059	133.041	46.005	50.153	50.69	20.825	48.313	133.36	133.36	43.063	135.327	21.152	49.919	133.844	22.34	134.364	135.038	135.682	135.682	15.936	47.213	135.572	133.661	53.082	22.434	136.066	136.066	131.856	58.79	133.14	57.254	58.09	136.761	136.67	136.67	23.891	137.067	137.286	48.848	134.334	62.776	42.852	138.38	138.38	16.593	52.313	138.67	55.765	67.91
2	optimized_6608.py	0.452	NaN	36.507	0.324	136.641	136.641	136.546	1.975	36.266	136.352	36.547	2.911	36.0	136.404	136.404	36.468	132.868	36.064	132.368	36.124	37.464	137.025	137.025	37.216	6.54	6.486	6.275	36.718	135.366	133.616	38.393	38.393	131.61	132.636	135.876	135.116	131.571	8.018	36.948	36.948	38.945	37.193	10.113	36.472	39.507	8.758	131.912	131.912	135.901	9.781	131.344	11.515	38.01	135.563	38.059	38.059	134.885	134.166	37.319	134.061	38.671	134.375	136.964	133.804	133.804	38.792	13.7	16.653	131.512	16.545	13.486	39.712	39.712	39.297	39.614	137.171	131.452	39.625	13.557	38.898	134.933	134.933	39.336	133.599	10.316	134.034	35.256	13.351	135.395	135.395	19.302	133.251	133.154	132.546	130.991	135.105	40.975	40.975	132.359	39.558	132.245	131.21	16.684	131.574	41.96	134.312	134.312	134.183	40.892	134.57	134.142	134.455	26.132	131.017	131.017	29.064	134.509	43.136	44.352	44.233	133.872	42.707	42.707	31.455	42.014	11.675	134.245	133.414	35.293	42.76	42.76	133.97	132.464	132.373	134.731	134.238	30.109	134.316	32.885	48.63	48.63	134.471	134.641	47.684	38.993	132.4	47.694	132.721	132.721	36.779	39.445	134.952	133.121	46.294	50.437	50.968	20.94	20.94	133.438	22.803	43.445	135.412	21.239	50.188	133.923	133.923	134.456	135.131	135.776	51.271	16.1	47.572	135.669	133.745	133.745	22.672	136.14	55.101	131.953	59.061	133.233	57.526	57.526	136.848	136.75	53.627	23.969	137.144	137.359	49.19	134.403	134.403	43.113	138.468	60.917	16.315	52.619	138.765	56.07	68.162
4	optimized_4432.py	0.685	0.324	68.162	NaN	136.698	36.632	136.603	2.169	36.327	136.41	36.6	3.132	3.132	136.461	136.359	36.52	132.891	36.133	132.389	36.189	37.517	137.081	5.011	5.011	6.742	6.621	6.449	36.786	135.428	133.636	38.451	135.404	131.642	132.669	132.669	135.178	131.606	8.102	37.03	136.585	38.998	37.273	10.303	10.303	39.556	8.838	131.947	135.409	135.961	9.883	131.381	11.622	11.622	135.622	38.146	38.972	134.951	134.226	37.406	134.122	134.122	134.438	137.034	133.82	136.13	38.875	13.795	16.821	131.554	131.554	13.573	39.762	9.238	39.343	39.684	137.235	131.494	131.494	13.636	38.976	135.003	136.515	39.446	133.653	10.241	134.097	134.097	13.39	135.462	41.222	19.438	133.287	133.193	132.588	131.036	131.036	41.073	41.516	132.379	39.655	132.283	131.258	16.734	131.617	131.617	134.379	134.335	134.25	41.003	134.633	134.203	134.522	26.307	26.307	41.884	29.235	134.569	43.262	44.481	44.346	133.936	42.833	131.793	31.628	31.628	11.671	134.303	133.469	35.468	42.765	45.033	134.031	132.511	132.511	134.801	134.298	30.281	134.379	33.07	48.767	134.115	134.115	134.703	47.809	39.179	132.445	47.841	132.769	15.238	36.953	36.953	135.012	133.172	46.432	50.574	51.112	20.839	48.736	48.736	22.846	43.638	135.468	21.117	50.33	133.978	22.401	134.516	134.516	135.837	51.436	16.148	47.744	135.734	133.8	53.486	53.486	136.191	55.254	131.998	59.212	133.275	57.668	58.513	58.513	136.804	53.777	23.897	137.198	137.415	49.401	134.451	63.18	63.18	138.518	61.11	16.313	52.803	138.811	56.265	68.316
6	optimized_5910.py	36.562	136.641	0.677	36.632	138.381	NaN	138.352	36.905	1.798	138.52	1.608	36.815	36.815	138.095	138.244	1.861	136.72	3.642	136.12	3.637	3.637	138.723	36.617	6.08	37.504	37.102	38.038	7.401	138.732	137.373	137.373	137.799	135.057	136.166	139.749	139.081	134.964	36.75	36.75	139.836	5.612	10.382	37.703	8.106	8.556	37.406	37.406	139.745	139.156	36.256	134.507	38.412	12.327	140.315	10.683	10.683	139.431	139.114	14.78	139.124	13.708	139.99	140.965	140.965	139.202	14.249	39.324	41.733	134.581	40.376	39.259	39.259	38.458	12.581	14.057	141.412	134.362	16.286	39.836	39.836	140.512	141.876	18.382	137.596	35.659	140.595	13.098	13.098	141.93	21.395	42.822	136.518	136.398	135.611	133.524	133.524	20.105	23.31	136.113	22.237	135.498	133.676	39.012	134.244	134.244	142.133	142.003	142.028	23.493	142.102	141.787	141.421	46.569	46.569	26.795	48.365	142.166	30.355	32.807	32.157	141.897	30.73	30.73	49.322	29.89	35.454	143.018	142.126	53.02	16.271	16.271	141.768	134.045	133.774	142.981	142.967	52.41	143.242	49.65	49.65	142.446	143.269	143.674	38.215	57.302	133.978	36.775	134.005	134.005	56.138	57.159	143.911	134.343	36.634	41.905	42.409	42.409	39.078	134.218	41.224	59.567	145.135	42.642	41.31	41.31	43.692	142.586	144.776	144.971	42.581	39.204	65.033	144.836	144.836	44.176	43.539	136.134	46.724	134.548	52.221	136.105	136.105	51.608	146.328	146.992	44.87	45.602	136.877	136.744	65.076	65.076	55.173	32.992	142.92	76.097	38.687	71.925	142.695	142.695	62.574
8	optimized_3114.py	1.625	1.975	36.825	2.169	136.254	36.905	136.162	NaN	36.506	36.506	36.891	1.201	36.298	136.031	135.911	36.741	132.541	132.541	132.064	36.289	37.699	136.649	3.838	37.253	4.655	4.738	4.738	36.699	134.935	133.322	38.452	134.969	131.252	132.284	132.284	134.686	131.199	6.716	36.811	136.081	39.071	37.055	37.055	36.501	39.553	7.414	131.554	134.93	135.507	8.546	8.546	9.992	37.761	135.146	37.899	38.692	134.415	133.72	133.72	133.605	38.361	133.906	136.469	133.539	135.696	38.473	12.201	12.201	131.108	14.858	11.895	39.873	8.346	39.291	39.353	39.353	131.054	39.24	12.039	38.523	134.428	136.001	38.819	133.235	133.235	133.558	35.029	12.378	134.908	40.549	17.612	132.885	132.791	132.791	130.59	134.614	40.483	40.739	132.073	38.972	131.827	131.827	15.477	131.179	41.317	133.802	133.792	133.666	40.238	40.238	133.685	133.982	24.364	130.622	41.098	27.321	134.063	42.227	42.227	43.313	133.393	41.779	131.388	29.751	41.175	12.99	133.789	133.789	33.581	42.924	43.893	133.513	132.097	131.99	134.202	134.202	28.276	133.824	31.134	47.554	133.647	134.026	134.153	46.674	37.229	132.058	132.058	132.368	14.244	34.992	37.714	134.471	132.742	45.252	49.32	49.32	20.48	47.493	133.031	21.735	41.74	134.942	20.832	49.089	133.566	133.566	133.985	134.593	135.269	50.081	15.629	45.893	135.132	133.318	133.318	21.722	135.761	53.925	131.483	57.82	132.798	56.322	57.149	57.149	136.271	52.413	23.519	136.754	136.981	47.408	133.984	61.773	61.773	138.039	59.288	17.539	50.857	138.37	54.353	66.932
9	optimized_7544.py	36.231	36.266	1.886	36.327	138.441	1.798	138.415	36.506	NaN	138.564	138.564	36.38	2.213	138.166	138.303	2.192	136.367	1.964	135.792	135.792	2.175	138.824	36.193	4.726	36.937	36.566	37.498	37.498	138.722	137.071	5.922	137.856	134.685	135.806	139.773	139.067	139.067	36.238	8.205	139.853	4.915	9.056	37.024	6.58	7.951	7.951	134.99	139.752	139.202	35.718	134.13	37.788	10.739	140.347	140.347	10.876	139.36	139.072	13.437	139.058	12.245	139.907	139.907	137.498	139.265	12.948	38.648	40.866	134.174	39.576	38.591	9.168	38.029	11.87	11.87	141.466	133.969	15.085	39.183	15.657	140.373	141.875	16.868	16.868	35.699	140.479	11.907	37.059	141.819	20.042	41.95	136.161	136.048	136.048	133.137	142.228	18.686	21.876	135.777	20.868	135.06	133.257	133.257	133.871	23.335	141.935	141.837	141.828	22.018	141.948	141.637	141.637	45.511	132.618	25.442	47.292	142.052	28.905	31.351	31.351	141.674	29.307	133.313	48.208	28.504	35.464	142.8	141.934	141.934	16.32	32.206	141.562	133.705	133.417	142.717	142.738	142.738	142.987	48.51	37.302	142.285	143.057	143.404	36.833	36.833	133.66	35.292	133.681	34.816	54.986	55.983	143.648	133.998	133.998	40.473	40.937	41.429	37.592	133.833	40.552	58.344	144.852	144.852	39.886	134.446	43.231	142.352	144.461	144.674	41.046	38.789	38.789	144.514	133.979	42.735	42.96	135.78	45.263	134.101	50.734	50.734	50.353	50.21	146.019	146.675	43.468	45.113	136.507	136.507	63.769	134.39	53.714	31.935	142.427	74.834	38.602	38.602	142.254	72.955	61.128
11	optimized_4365.py	36.535	36.547	1.306	36.6	138.711	1.608	138.679	36.891	138.564	138.834	NaN	36.822	1.888	138.428	138.569	2.513	2.513	4.291	136.467	4.626	3.11	139.067	36.661	6.751	6.751	37.185	38.032	8.409	139.001	137.708	7.24	138.116	135.327	136.433	136.433	139.326	135.222	36.888	10.495	140.104	6.296	11.126	37.754	37.754	9.264	37.496	135.608	139.988	139.431	36.407	134.75	134.75	12.946	140.564	11.199	12.764	139.646	139.336	15.608	15.608	14.231	140.181	141.191	138.207	139.489	14.91	39.493	41.851	41.851	40.571	39.45	8.725	38.577	13.607	14.602	141.657	141.657	16.952	39.878	17.827	140.656	142.086	18.967	137.884	35.481	35.481	14.052	37.652	142.065	22.066	42.988	136.752	136.609	136.609	133.695	142.476	20.746	23.946	136.476	23.098	135.771	133.827	133.827	134.416	25.433	142.205	142.095	142.109	24.172	142.197	142.197	141.507	46.797	133.117	27.582	48.597	142.28	31.049	33.511	33.511	141.931	31.481	133.751	49.614	30.723	35.347	143.044	143.044	53.292	17.043	34.259	141.802	134.123	133.838	142.988	142.979	142.979	143.232	49.899	39.409	142.509	143.289	143.646	38.97	38.97	134.072	37.3	134.073	35.734	56.336	57.393	143.879	143.879	37.298	42.559	43.063	41.841	39.698	134.241	41.578	59.81	59.81	42.749	41.982	134.77	43.719	142.584	144.714	144.895	43.085	43.085	65.262	144.747	134.362	44.719	43.831	136.123	47.277	134.798	134.798	136.339	52.457	52.176	146.226	146.905	45.334	45.663	45.663	136.686	65.165	134.812	55.557	34.025	143.058	76.243	38.546	38.546	142.878	74.313	63.086
12	optimized_208.py	2.508	2.911	36.741	3.132	135.874	36.815	135.783	1.201	36.38	135.576	36.822	NaN	36.196	135.654	135.532	36.628	132.253	132.253	131.779	36.126	37.592	136.269	3.695	37.06	3.818	3.991	3.991	36.459	134.563	133.034	38.298	134.596	130.967	131.994	135.086	135.086	130.914	6.108	36.523	135.704	38.956	36.781	7.52	36.256	36.256	6.973	131.27	134.572	135.139	7.859	130.675	9.386	37.455	37.455	37.644	38.426	134.052	133.365	36.608	133.251	38.056	133.556	133.556	133.26	135.333	38.155	11.601	14.031	130.828	14.053	11.236	11.236	8.226	39.097	39.092	136.373	130.774	38.917	11.761	38.161	38.161	135.647	38.412	132.888	12.811	133.224	34.658	12.103	134.57	40.146	16.942	16.942	132.5	131.869	130.312	134.282	40.128	40.298	131.797	38.503	131.534	130.512	15.082	130.899	130.899	133.488	133.482	133.348	39.795	133.79	133.38	133.667	23.5	130.37	40.626	40.626	133.754	41.629	42.78	42.724	133.106	41.139	131.14	28.849	40.551	13.136	133.52	132.711	132.711	42.863	43.254	133.23	131.853	131.745	133.904	133.505	27.594	133.557	30.204	46.91	46.91	133.762	133.9	46.02	36.327	131.812	45.986	132.129	13.272	34.139	36.851	36.851	132.501	44.582	48.648	49.175	20.838	46.825	132.812	21.202	21.202	134.711	21.273	48.386	133.33	22.178	133.719	134.349	134.349	49.378	15.88	45.056	134.894	133.088	51.518	21.695	135.563	135.563	131.178	57.164	132.493	55.646	56.457	136.121	136.071	51.72	23.956	23.956	136.791	46.557	133.8	61.137	41.887	137.761	58.472	18.055	50.141	138.075	138.075	66.285
18	optimized_2470.py	36.012	36.064	3.586	36.133	138.497	3.642	138.474	132.541	1.964	138.599	4.291	132.253	3.522	138.239	138.353	3.387	136.018	NaN	135.472	135.472	2.998	138.931	35.81	3.493	36.424	36.066	37.007	4.822	4.822	136.774	5.165	137.894	134.313	135.447	139.775	139.025	139.025	35.75	6.686	139.847	4.474	7.743	36.362	5.755	7.347	7.347	134.618	139.737	139.231	35.194	133.742	37.139	9.156	140.36	140.36	9.531	139.249	138.984	11.985	138.941	10.672	139.774	139.774	137.204	139.328	11.448	37.935	39.96	133.755	38.72	37.861	37.861	37.568	11.328	11.639	141.496	133.561	13.585	38.456	14.321	14.321	141.841	15.237	137.665	35.993	140.307	10.657	36.505	36.505	18.498	41.017	135.795	135.692	134.851	132.73	142.06	17.245	17.245	135.464	19.448	134.618	132.817	37.7	133.474	21.897	21.897	141.613	141.562	20.495	141.741	141.436	141.043	44.386	132.207	132.207	46.116	141.895	27.329	29.803	29.25	141.39	27.76	132.946	47.002	27.077	27.077	142.525	141.69	50.626	16.292	30.611	141.293	133.331	133.028	142.389	142.389	50.116	142.663	47.253	35.739	142.068	142.782	143.065	143.065	54.793	133.313	33.66	133.322	34.309	53.698	54.684	143.308	143.308	33.651	38.946	39.408	40.899	36.017	133.4	39.773	39.773	144.495	41.796	38.369	134.093	42.614	142.039	144.051	144.289	144.289	38.386	62.512	144.095	133.538	41.144	42.204	135.371	135.371	133.625	49.176	135.232	48.877	48.692	145.613	146.275	41.83	41.83	136.086	136.013	62.337	133.924	52.132	30.839	141.966	73.472	73.472	69.235	141.844	71.554	59.666
20	optimized_2633.py	36.068	36.124	3.765	36.189	138.559	3.637	138.538	36.289	135.792	138.681	4.626	36.126	4.296	138.296	138.428	135.692	136.15	135.472	135.592	NaN	3.252	138.951	35.821	3.509	36.538	36.137	37.121	37.121	138.837	136.868	5.201	137.987	134.473	135.591	139.886	139.184	139.184	35.709	6.752	139.974	4.561	7.515	36.456	5.893	5.893	36.309	134.781	139.862	139.323	35.126	133.924	37.117	37.117	140.471	8.128	9.205	139.469	139.191	11.593	139.165	10.754	10.754	141.032	137.274	139.373	11.464	37.864	40.058	133.952	133.952	37.853	9.19	37.507	10.05	11.449	141.594	133.76	13.475	38.515	14.065	140.432	141.972	15.317	15.317	35.996	140.548	9.995	36.375	141.876	18.224	40.993	40.993	135.843	135.019	132.943	142.292	17.08	20.105	135.578	18.878	18.878	133.046	37.572	133.674	21.43	141.962	141.863	141.853	20.141	20.141	141.67	141.283	44.41	132.435	23.437	46.168	142.099	27.055	27.055	28.969	141.665	27.541	133.142	46.996	26.644	35.776	142.776	142.776	50.653	15.096	30.419	141.56	133.528	133.235	142.684	142.709	142.709	142.967	47.362	35.543	142.291	143.03	143.363	35.01	35.01	133.499	33.567	133.525	34.109	53.926	54.785	143.604	133.813	133.813	38.739	39.225	40.755	35.877	133.636	39.412	57.169	144.784	144.784	38.323	134.291	42.493	142.345	144.422	144.595	39.425	39.425	62.657	144.432	133.793	41.299	41.992	135.589	43.821	133.823	133.823	135.408	48.754	48.677	145.978	146.59	42.008	44.326	44.326	136.267	62.826	134.216	52.475	29.905	142.09	73.75	73.75	69.678	141.898	71.988	59.731
21	optimized_6805.py	37.431	37.464	2.53	37.517	138.931	3.637	138.906	37.699	2.175	139.059	3.11	37.592	3.374	138.662	138.793	1.973	136.717	2.998	136.149	3.252	NaN	139.325	37.33	4.329	38.112	38.112	38.628	5.895	139.242	137.419	4.586	138.342	134.987	134.987	140.3	139.587	134.876	37.376	8.092	140.37	3.696	8.686	8.686	7.37	6.653	37.968	135.279	140.29	139.706	36.849	36.849	38.846	38.846	140.905	8.795	10.429	139.898	139.598	13.316	139.578	11.863	11.863	141.434	137.911	139.785	12.351	39.705	41.946	134.422	40.637	40.637	8.207	39.017	11.374	12.296	141.996	134.208	14.422	14.422	15.201	140.888	142.426	16.65	138.221	37.019	141.021	12.271	12.271	142.363	19.691	42.981	136.433	136.328	135.497	133.363	142.805	142.805	21.607	136.165	20.879	135.359	133.47	39.318	134.087	23.087	23.087	142.384	142.38	21.935	142.492	142.184	141.793	46.584	132.784	132.784	48.306	142.622	28.98	31.446	30.7	142.191	29.393	133.49	133.49	28.68	36.74	143.333	142.487	52.883	15.682	32.295	32.295	133.847	133.564	143.246	143.257	52.217	143.501	49.491	37.346	142.807	142.807	143.909	36.932	57.11	133.822	35.358	133.816	36.097	36.097	56.935	144.126	134.111	35.395	40.537	41.048	42.086	37.7	37.7	41.497	59.34	145.333	42.945	39.978	134.571	43.89	142.817	142.817	145.111	41.22	39.728	64.764	144.948	134.03	42.645	43.73	43.73	45.288	134.367	50.746	135.948	50.446	50.2	146.461	146.461	43.422	45.879	136.498	136.408	64.697	134.408	53.611	32.266	142.716	142.716	40.06	71.51	142.578	73.882	61.196
23	optimized_1150.py	4.589	137.025	36.527	5.011	136.32	36.617	136.233	3.838	36.193	136.023	36.661	3.695	36.148	3.141	135.98	36.455	132.74	35.81	132.274	35.821	37.33	136.699	NaN	36.698	36.698	3.019	3.973	36.102	135.028	133.47	37.808	135.048	135.048	132.434	135.519	134.779	131.381	3.601	36.191	136.157	38.534	38.534	6.418	36.353	38.708	4.206	131.723	135.015	135.581	135.581	131.111	6.944	37.082	135.241	37.36	37.79	134.522	133.828	133.828	133.704	37.551	133.984	136.522	133.756	135.752	37.549	37.549	12.783	131.242	12.179	8.856	39.035	5.306	38.191	38.088	136.792	136.792	38.027	9.192	37.606	134.474	136.052	37.92	133.413	14.606	133.641	133.641	8.773	134.955	39.171	14.972	132.948	132.891	132.243	130.702	130.702	39.574	39.439	132.337	37.566	131.978	130.901	11.873	11.873	39.888	133.868	133.851	133.728	38.966	134.142	133.754	134.034	22.181	22.181	39.546	25.179	134.143	40.667	41.853	41.779	133.436	40.319	40.319	27.595	39.719	15.461	133.84	133.099	31.534	41.429	42.231	42.231	132.1	131.981	134.208	133.81	26.885	133.872	29.084	29.084	133.718	134.066	134.176	45.09	35.692	132.084	45.062	132.372	132.372	33.481	35.846	134.474	132.693	43.548	47.815	48.495	17.598	17.598	132.989	18.278	40.137	134.964	18.213	47.888	133.488	19.179	19.179	134.614	135.201	48.766	13.567	44.335	135.047	133.212	51.069	18.492	135.662	52.906	52.906	56.692	132.84	55.199	55.843	136.326	136.29	50.977	21.434	21.434	136.854	46.504	133.993	60.979	40.37	138.134	58.125	20.484	50.142	138.345	138.345	66.107
24	optimized_2801.py	37.142	37.216	6.197	5.011	136.32	6.08	136.233	37.253	4.726	136.023	6.751	37.06	6.43	139.021	139.115	5.334	135.918	3.493	135.414	3.509	4.329	139.737	36.698	NaN	37.217	36.869	37.765	2.733	139.416	136.693	2.658	2.658	134.122	135.255	140.516	139.736	133.988	36.487	4.239	140.589	140.589	4.65	36.96	5.603	4.746	36.977	134.395	140.464	139.962	139.962	133.524	37.572	6.495	141.14	4.956	6.363	139.944	139.944	9.293	139.605	7.709	140.408	141.52	137.214	140.072	8.383	8.383	40.164	133.449	38.927	38.222	8.843	38.153	8.973	8.973	142.262	133.257	10.59	38.791	11.389	140.717	142.547	12.471	138.527	138.527	140.893	9.123	36.951	142.223	15.62	41.061	135.53	135.451	135.451	132.433	142.669	14.216	17.448	135.46	16.873	134.372	132.47	37.928	37.928	19.019	142.149	142.098	142.047	17.775	142.218	141.929	141.513	141.513	131.85	21.419	45.849	142.451	24.928	27.398	26.689	26.689	25.444	132.61	46.678	24.782	37.321	142.872	142.123	50.225	50.225	28.32	141.637	132.952	132.647	142.713	142.766	49.777	142.976	142.976	33.329	142.466	143.096	143.333	33.032	54.414	132.991	132.991	132.968	34.922	53.286	54.194	143.542	133.185	31.41	36.593	36.593	41.247	33.71	132.886	39.759	56.565	144.686	42.174	36.189	36.189	42.81	142.334	144.277	144.412	37.256	39.002	61.972	61.972	133.043	38.84	42.341	134.811	41.513	133.348	46.872	134.921	134.921	46.436	145.793	146.392	39.668	44.808	135.459	135.518	61.971	61.971	49.99	28.961	141.46	72.941	40.837	68.747	141.422	71.101	71.101
26	optimized_8135.py	6.07	6.486	37.017	6.621	135.439	37.102	135.355	4.738	36.566	135.137	37.185	3.991	36.556	135.239	135.095	36.855	132.012	36.066	131.498	36.137	38.112	135.82	3.019	36.869	2.134	NaN	2.821	36.148	134.119	132.737	38.061	134.175	134.175	131.669	134.649	133.893	130.584	3.114	36.075	135.25	38.844	38.844	4.403	36.33	39.018	4.117	130.955	134.165	134.736	134.736	130.321	5.973	36.879	134.39	37.238	37.777	133.589	133.589	35.655	132.803	37.314	133.096	135.572	133.006	134.945	37.305	37.305	10.716	130.462	10.409	7.406	39.622	6.131	38.498	38.498	135.94	130.414	37.8	8.592	37.223	133.576	135.209	135.209	132.564	16.386	132.778	33.785	9.325	134.11	38.722	13.484	13.484	132.164	131.505	129.945	133.837	39.116	38.826	131.557	131.557	131.127	130.129	11.711	130.525	39.37	133.025	133.047	132.869	132.869	133.362	132.978	133.242	20.183	130.007	38.998	23.176	133.371	39.696	39.696	40.77	132.682	39.209	130.825	25.608	38.746	16.42	133.136	133.136	29.531	42.181	41.141	132.825	131.5	131.371	133.418	133.109	133.109	133.136	26.944	44.813	133.035	133.386	133.475	43.93	33.43	33.43	43.884	131.788	11.689	31.226	33.8	133.79	132.114	42.418	46.495	46.495	18.91	44.775	132.398	17.999	37.957	134.31	19.517	46.405	132.964	20.212	133.286	133.863	134.548	134.548	14.857	42.273	134.366	132.618	49.525	18.765	135.155	51.294	130.642	55.113	132.03	53.619	53.619	135.654	135.667	49.462	22.598	136.114	136.372	44.057	133.376	59.267	59.267	137.404	56.0	21.436	47.848	137.676	51.38	64.429
38	optimized_5315.py	7.612	8.018	36.67	8.102	135.721	36.75	135.641	6.716	36.238	135.433	36.888	6.108	36.347	135.526	135.385	36.549	132.304	35.75	131.848	35.709	37.376	136.092	3.601	36.487	4.663	3.114	130.828	35.737	134.465	133.029	37.634	134.472	131.011	132.008	38.383	134.241	130.972	NaN	35.711	135.587	38.473	35.847	4.898	36.2	36.2	2.546	131.323	134.492	135.037	2.245	130.691	4.59	4.59	134.726	36.995	37.243	133.988	133.311	35.011	133.188	133.188	133.469	135.938	133.32	135.207	36.843	6.318	10.578	10.578	9.255	6.028	39.036	4.85	37.624	37.371	136.251	136.251	37.174	8.004	36.759	133.955	135.534	37.052	132.926	17.346	17.346	32.933	6.996	134.47	37.997	12.468	132.502	132.478	131.828	131.828	134.235	38.745	38.221	131.934	36.19	131.518	130.524	9.518	9.518	38.586	133.436	133.422	133.284	37.722	133.709	133.34	133.601	133.601	130.359	38.058	22.399	133.732	38.868	39.992	39.985	133.055	133.055	131.117	24.662	37.85	17.567	133.489	132.768	28.715	40.942	40.942	133.169	131.754	131.632	133.798	133.462	25.096	133.531	133.531	44.098	133.363	133.718	133.847	43.005	33.102	131.734	43.168	43.168	10.279	31.057	33.18	134.139	132.34	41.482	45.749	46.495	17.431	17.431	132.676	15.456	37.459	134.662	18.229	45.897	133.142	19.014	19.014	134.304	134.87	46.809	14.167	41.81	134.711	132.862	49.242	16.98	16.98	51.022	130.969	54.807	132.35	53.192	53.751	136.051	136.041	48.956	48.956	136.261	136.558	44.398	133.747	59.323	38.428	137.748	55.796	55.796	48.37	137.878	51.795	64.252
